[O:1]=[CH:2][CH2:3][c:4]1[cH:5][cH:7][cH:9][cH:8][cH:6]1	[OH:1]/[CH:2]=[CH:3]\[c:4]1[cH:5][cH:7][cH:9][cH:8][cH:6]1	InChI=1S/C8H8O/c9-7-6-8-4-2-1-3-5-8/h1-5,7H,6H2	InChI=1S/C8H8O/c9-7-6-8-4-2-1-3-5-8/h1-7,9H
[CH3:4][C:2]([CH2:3][c:5]1[cH:6][cH:8][cH:10][cH:9][cH:7]1)=[O:1]	[CH3:4]/[C:2](/[OH:1])=[CH:3]/[c:5]1[cH:6][cH:8][cH:10][cH:9][cH:7]1	InChI=1S/C9H10O/c1-8(10)7-9-5-3-2-4-6-9/h2-6H,7H2,1H3	InChI=1S/C9H10O/c1-8(10)7-9-5-3-2-4-6-9/h2-7,10H,1H3
[O:1]=[C:2]([CH2:4][c:7]1[cH:10][cH:13][cH:15][cH:14][cH:11]1)[c:3]1[cH:5][cH:8][cH:12][cH:9][cH:6]1	[OH:1]/[C:2](/[c:3]1[cH:5][cH:8][cH:12][cH:9][cH:6]1)=[CH:4]\[c:7]1[cH:10][cH:13][cH:15][cH:14][cH:11]1	InChI=1S/C14H12O/c15-14(13-9-5-2-6-10-13)11-12-7-3-1-4-8-12/h1-10H,11H2	InChI=1S/C14H12O/c15-14(13-9-5-2-6-10-13)11-12-7-3-1-4-8-12/h1-11,15H
[O:1]=[CH:2][CH:3]([c:5]1[cH:8][cH:12][cH:15][cH:13][cH:9]1)[c:4]1[cH:6][cH:10][cH:14][cH:11][cH:7]1	[OH:1][CH:2]=[C:3]([c:5]1[cH:8][cH:12][cH:15][cH:13][cH:9]1)[c:4]1[cH:6][cH:10][cH:14][cH:11][cH:7]1	InChI=1S/C14H12O/c15-11-14(12-7-3-1-4-8-12)13-9-5-2-6-10-13/h1-11,14H	InChI=1S/C14H12O/c15-11-14(12-7-3-1-4-8-12)13-9-5-2-6-10-13/h1-11,15H
[CH3:10][O:7][CH2:4][C:2]([c:3]1[cH:5][cH:8][cH:11][cH:9][cH:6]1)=[O:1]	[CH3:10][O:7]/[CH:4]=[C:2](/[c:3]1[cH:5][cH:8][cH:11][cH:9][cH:6]1)\[OH:1]	InChI=1S/C9H10O2/c1-11-7-9(10)8-5-3-2-4-6-8/h2-6H,7H2,1H3	InChI=1S/C9H10O2/c1-11-7-9(10)8-5-3-2-4-6-8/h2-7,10H,1H3
[O:1]=[C:2]([CH2:4][n+:7]1[cH:10][cH:13][cH:15][cH:14][cH:11]1)[c:3]1[cH:5][cH:8][cH:12][cH:9][cH:6]1	[OH:1]/[C:2](/[c:3]1[cH:5][cH:8][cH:12][cH:9][cH:6]1)=[CH:4]\[n+:7]1[cH:10][cH:13][cH:15][cH:14][cH:11]1	InChI=1S/C13H12NO/c15-13(12-7-3-1-4-8-12)11-14-9-5-2-6-10-14/h1-10H,11H2/q+1	InChI=1S/C13H11NO/c15-13(12-7-3-1-4-8-12)11-14-9-5-2-6-10-14/h1-11H/p+1
[CH3:9][CH2:7][S:4][CH:2](/[CH:5]=[N:8]/[CH3:10])[S:1][CH2:3][CH3:6]	[CH3:9][CH2:7][S:4][C:2]([S:1][CH2:3][CH3:6])=[CH:5][NH:8][CH3:10]	InChI=1S/C7H15NS2/c1-4-9-7(6-8-3)10-5-2/h6-7H,4-5H2,1-3H3/b8-6+	InChI=1S/C7H15NS2/c1-4-9-7(6-8-3)10-5-2/h6,8H,4-5H2,1-3H3
[O:1]=[C:2]([CH2:4]1)[CH2:3][c:5]2[c:6]1[cH:8][cH:10][cH:9][cH:7]2	[OH:1][C:2]([CH2:4]1)=[CH:3][c:5]2[c:6]1[cH:8][cH:10][cH:9][cH:7]2	InChI=1S/C9H8O/c10-9-5-7-3-1-2-4-8(7)6-9/h1-4H,5-6H2	InChI=1S/C9H8O/c10-9-5-7-3-1-2-4-8(7)6-9/h1-5,10H,6H2
[O:1]=[C:2]([CH2:4][CH2:7]1)[c:3]2[c:5]1[cH:8][cH:10][cH:9][cH:6]2	[OH:1][C:2]1=[CH:4][CH2:7][c:5]2[c:3]1[cH:6][cH:9][cH:10][cH:8]2	InChI=1S/C9H8O/c10-9-6-5-7-3-1-2-4-8(7)9/h1-4H,5-6H2	InChI=1S/C9H8O/c10-9-6-5-7-3-1-2-4-8(7)9/h1-4,6,10H,5H2
[CH3:5][CH2:3][C:2]([CH3:4])=[O:1]	[CH3:5][CH2:3][C:2]([OH:1])=[CH2:4]	InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3	InChI=1S/C4H8O/c1-3-4(2)5/h5H,2-3H2,1H3
